Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Dus,tt0415768,08 Jul 2005,"Action, Crime, Drama","Sanjay Dutt, Suniel Shetty, Abhishek Bachchan","Yash Gawli, Yash Keswani, Anubhav Sinha",Anubhav Sinha,A team of specialists must catch a terrorist before he carries out an attack.,5.5,"3,318"
Jhoom Barabar Jhoom,tt0833476,15 Jun 2007,"Comedy, Drama, Musical","Abhishek Bachchan, Preity Zinta, Bobby Deol","Habib Faisal, Anurag Kashyap, Shaad Ali",Shaad Ali,"A crazy love story full of lies, deceits and a complicated quadrangle where each one has to think quickly and dance around each other's emotions.",3.6,"3,203"
Pyaar Ke Side Effects,tt0480572,15 Sep 2006,"Comedy, Drama, Romance","Rahul Bose, Mallika Sherawat, Ranvir Shorey","Saket Chaudhary, Pratibha Acharya, Vijay Krishna Acharya",Saket Chaudhary,"A commitment-phobe agrees to marry his girlfriend, setting in motion a series of hilarious mishaps that has him questioning what he got himself into.",6.8,"3,125"
Ghatak: Lethal,tt0116407,15 Nov 1996,"Action, Drama","Sunny Deol, Meenakshi Sheshadri, Danny Denzongpa","Vijay Deveshwar, Shyam Gupta, K.K. Raina",Rajkumar Santoshi,"Unable to witness the injustice and brutality inflict on the residents by a tyrannical gangster, Katya, in a small Indian village in India; Kashinath alias Kashi decides to single-handily take a stand to fight for his and the vill...",7.5,"3,665"
Baabul,tt0419468,08 Dec 2006,"Drama, Family, Romance","Amitabh Bachchan, Salman Khan, Hema Malini","Ravi Chopra, Achala Nagar, Sameer",Ravi Chopra,"When his only son dies in an accident, Balraaj urges his depressed daughter-in-law to marry a man who has long loved her in silence.",5.4,"3,357"
Pyaar Impossible!,tt1351224,08 Jan 2010,"Comedy, Romance","Priyanka Chopra Jonas, Anupam Kher, Nataliya Kozhenova",Uday Chopra,Jugal Hansraj,Everybody loves beautiful Alisha and it's no surprise that nerdy Abhay loves her too but she doesn't know he exists until years later their paths cross.,4.9,"3,140"
Chalo Dilli,tt1884268,29 Apr 2011,"Comedy, Drama","Vinay Pathak, Lara Dutta, Yana Gupta","Shabbir Ahmed, Anand Raj Anand, Krishika Lulla",Shashant Shah,"Enroute to her destination via plane, a busy executive gets stranded with a middle-classed fast-talking male.",6.8,"3,287"
Shiva,tt0248428,05 Oct 1989,"Action, Crime, Drama","Nagarjuna Akkineni, Amala Akkineni, Raghuvaran","Azam, Tanikella Bharani, Iqbal Durrani",Ram Gopal Varma,"Shiva is disgusted by the corruption in and around his new college, and along with his friends, he decides to take a stand against the status quo.",8.0,"3,650"
Parinda,tt0102636,03 Nov 1989,"Action, Crime, Drama","Jackie Shroff, Anil Kapoor, Nana Patekar","Vidhu Vinod Chopra, Imtiaz Hussain, Shivkumar Subramaniam",Vidhu Vinod Chopra,"A man's friend, a police officer, is assassinated by gangsters in broad daylight. He discovers that his elder brother works in the same gang and decides to avenge his friend's death by infiltrating the gang.",7.8,"3,388"
Satte Pe Satta,tt0084630,22 Jan 1982,"Action, Comedy, Drama","Amitabh Bachchan, Hema Malini, Ranjeeta Kaur","Satish Bhatnagar, Kader Khan, Jyoti Swaroop",Raj N. Sippy,"The eldest of seven brothers, who run a family farm together, marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example.",7.2,"3,347"
The Chess Players,tt0076696,03 Oct 1977,"Comedy, Drama, History","Sanjeev Kumar, Saeed Jaffrey, Shabana Azmi","Munshi Premchand, Satyajit Ray, Shama Zaidi",Satyajit Ray,"Wazed Ali Shah was the ruler of one of the last independent kingdoms of India. The British, intent on controlling this rich country, had sent General Outram on a secret mission to clear the way for an annexation. While pressure wa...",7.5,"3,606"
F.A.L.T.U,tt1667076,01 Apr 2011,"Comedy, Drama","Arshad Warsi, Riteish Deshmukh, Jackky Bhagnani","Vipul Binjola, Tushar Hiranandani, Aakash Kaushik",Remo D'Souza,"Unable to get accepted, four academically-challenged students decide to open their own college.",4.7,"3,065"
Tevar,tt3398048,09 Jan 2015,"Action, Drama, Romance","Arjun Kapoor, Sonakshi Sinha, Manoj Bajpayee","Gunasekhar, Shantanu Srivastava",Amit Ravindernath Sharma,"Caught in the middle of a lethal unrequited love, an athlete protects a young woman from an unwanted marriage.",4.2,"3,169"
Jaani Dushman: Ek Anokhi Kahani,tt0326983,16 Aug 2002,"Action, Fantasy, Horror","Sunny Deol, Arman Kohli, Manisha Koirala","Naveena Bhandari, Ravi Shankar Jaiswal, Rajkumar Kohli",Rajkumar Kohli,A shape-shifting snake exacts vengeance on a group of friends for a crime they did not even commit.,2.6,"3,465"
Ekk Deewana Tha,tt2126282,17 Feb 2012,"Drama, Romance","Prateik Babbar, Amy Jackson, Sachin Khedekar","Manu Rishi Chadha, Meghana Karthik, Gautham Vasudev Menon",Gautham Vasudev Menon,An aspiring filmmaker from Mumbai falls in love with a woman from a strict orthodox Christian family.,6.2,"3,123"
